age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income_>50K,pred_id,prob_class_1,prediction,timestamp
36,Private,245090,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,3137,0,50,El-Salvador,0,6c2ef802-b8bc-4408-9c05-b50d7d8a719f,0.5266627199591617,1,2024-03-10 00:01:00
30,Local-gov,19302,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,70,Germany,1,89dbc150-9c8b-4135-a0be-53e4cea55c6b,0.5220541158162828,1,2024-03-10 00:10:00
40,Private,226902,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,1,3e30c009-5711-4138-9573-317d2570a3de,0.9983953688717883,1,2024-03-10 00:20:00
36,Private,203717,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,0,a9be91ff-909a-4713-bf43-8f8ad403ad27,0.044618522507393114,0,2024-03-10 00:30:00
33,Private,145434,11th,7,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0,9ee8d072-f8c8-4404-9c51-b8c73a143b2a,0.030181210959519273,0,2024-03-10 00:42:00
39,Private,114079,Assoc-acdm,12,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0,6139071d-a771-41e8-b087-2b3c9ece7de4,0.05003334088773164,0,2024-03-10 00:47:00
62,Private,125832,9th,5,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,35,United-States,0,9049571c-087f-4f00-a87d-a6b11e3c8068,0.005147425958250043,0,2024-03-10 00:58:00
29,Private,154017,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,10,United-States,0,08010d55-9dba-4487-b10e-3a4e3c545d6e,0.0064142878269182555,0,2024-03-10 01:13:00
34,Self-emp-not-inc,338042,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,0,a6418783-a0d4-4b1e-8c86-084c9791f67c,0.05291378119306286,0,2024-03-10 01:19:00
29,Self-emp-not-inc,128516,Assoc-acdm,12,Widowed,Sales,Unmarried,White,Female,0,0,40,United-States,1,fdac934c-3858-4bce-8dba-c51687abe39f,0.021330802109393587,0,2024-03-10 01:31:00
23,Local-gov,117789,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,0,8272537f-d131-4fd3-ae69-716c353bc6ce,0.026496650884449302,0,2024-03-10 01:37:00
41,Private,97632,Some-college,10,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Female,0,0,32,United-States,0,e900a22b-6be7-40d0-8ed7-bb6cc91f97fa,0.02819822195054818,0,2024-03-10 01:50:00
37,Private,126569,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,1,c4ec3298-aa7e-493c-a087-6a241f6e9579,0.8851603473310453,1,2024-03-10 02:00:00
41,Private,200671,Bachelors,13,Divorced,Transport-moving,Own-child,Black,Male,6497,0,40,United-States,0,e6bdb1c9-eff6-4099-a291-dbb0f6acb31f,0.4611628872028122,0,2024-03-10 02:12:00
50,Self-emp-not-inc,131982,HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,60,South,0,8e4c5ecc-460e-4869-a8ad-a4b7d0f5642d,0.041420785922656966,0,2024-03-10 02:23:00
48,Private,149210,HS-grad,9,Separated,Craft-repair,Unmarried,Black,Male,0,0,45,United-States,0,9529007d-585b-4669-9c2e-2cffbc4ed6f3,0.04934269589188935,0,2024-03-10 02:31:00
44,Private,153489,HS-grad,9,Never-married,Other-service,Unmarried,White,Male,0,0,40,United-States,0,8b4739fe-cd4a-4c50-89f0-86524f5e4e34,0.032961754560581,0,2024-03-10 02:42:00
60,Private,532845,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,1,dde07efb-58d8-42ac-b2cc-c47ce7d3a0e5,0.19083839392703233,0,2024-03-10 02:47:00
41,Self-emp-not-inc,204235,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1,75c743f1-7096-402f-bc0c-d91e5842d725,0.7170025976361247,1,2024-03-10 03:00:00
30,Private,181651,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,0,30cc5611-374c-4ac4-a9c7-148d452eef58,0.7079948273415719,1,2024-03-10 03:11:00
44,Private,139907,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,50,United-States,0,82b7ddca-ef5c-42c5-bb14-7d3586596fd5,0.07642027081285228,0,2024-03-10 03:23:00
23,Private,217961,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,45,Outlying-US(Guam-USVI-etc),0,4c0813f8-c097-4e1d-a613-76cb7470c729,0.0156587109491366,0,2024-03-10 03:33:00
51,Self-emp-not-inc,103257,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0,c8776b4a-fcd6-42c6-9ebc-10718ea952a7,0.7019501666950579,1,2024-03-10 03:37:00
48,Private,125892,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,1,b1d40e12-f764-4325-8c54-e7c8d88b30e3,0.6922750255950588,1,2024-03-10 03:53:00
25,Private,267044,Some-college,10,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0,0,20,United-States,0,b9c57d05-4419-42f5-bc6a-56e2ed6abe86,0.005695316863898809,0,2024-03-10 03:58:00
58,,226078,11th,7,Divorced,,Unmarried,Black,Female,0,0,32,United-States,0,904ad806-08fe-4529-a85a-f7d079543627,0.021345388698574,0,2024-03-10 04:13:00
28,Private,331381,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0,ca97a1bf-27d0-465c-8c09-7c0e9621cb84,0.07468481324214224,0,2024-03-10 04:17:00
32,Private,205390,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,49,United-States,0,d764d990-ffe6-4f02-8047-6d1165165781,0.3400433209608721,0,2024-03-10 04:32:00
70,Private,405362,7th-8th,4,Widowed,Other-service,Unmarried,Black,Female,0,0,38,United-States,0,6c4957f2-2cb0-4262-87ed-975c940ebdf9,0.007629288611316974,0,2024-03-10 04:40:00
44,Private,215304,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,1,7a096a97-489e-486d-a98a-6c695ee7fe51,0.7408932590205147,1,2024-03-10 04:47:00
48,Local-gov,218357,HS-grad,9,Separated,Transport-moving,Unmarried,White,Female,0,0,25,United-States,0,4774285b-c38e-4e45-96a4-6238462989e7,0.010765761591568302,0,2024-03-10 05:02:00
24,Self-emp-not-inc,434102,11th,7,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,3,United-States,0,ce8b31a7-f0e2-42a8-8b8c-d20aebee019d,0.0051973307988806075,0,2024-03-10 05:12:00
