age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income_>50K,pred_id,prob_class_1,prediction,timestamp
37,Private,174844,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,17,United-States,0,fe2f8443-b644-4ba5-a130-45336a0a04d6,0.17998705507911886,0,2024-01-09 23:59:00
42,,167678,11th,7,Married-civ-spouse,,Husband,White,Male,0,0,22,Ecuador,0,b85abaca-581e-4988-8392-03460b3aa5d5,0.12672799488072203,0,2024-01-10 00:08:00
27,Self-emp-not-inc,115438,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,Ireland,1,01d05d15-8d34-4451-97d5-99dff5ee9217,0.2481757728172769,0,2024-01-10 00:21:00
32,Private,295589,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,1977,40,United-States,1,01a9168f-fbb9-46e4-acfd-c1be174a9373,0.8537193309196888,1,2024-01-10 00:33:00
20,Private,107746,11th,7,Never-married,Transport-moving,Other-relative,White,Male,0,0,40,Guatemala,0,3a6074d2-b42f-4853-aeac-d164d36baad2,0.012085605779030784,0,2024-01-10 00:42:00
42,Private,66006,10th,6,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,0,527cd349-feb1-45cb-b049-40f9fa564552,0.008203852049163211,0,2024-01-10 00:49:00
19,Local-gov,354104,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,35,United-States,0,83bf422e-722e-4099-be83-1e181755f04f,0.009915146678266366,0,2024-01-10 01:03:00
22,Private,202745,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,55,United-States,0,0d6175f9-03ca-4e64-8f29-f9cac5674177,0.008922016828533995,0,2024-01-10 01:09:00
47,Federal-gov,168109,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,70,United-States,0,31a2227c-c3d6-4d19-b2cc-062ac1a18589,0.5223128917784856,1,2024-01-10 01:17:00
23,Private,180837,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,40,United-States,0,83577010-eb56-4786-96d0-24894041c04f,0.004355508905214084,0,2024-01-10 01:30:00
20,Private,130840,10th,6,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0,fae4c482-e8b4-4097-964b-218b9b7065d4,0.0031131049212186836,0,2024-01-10 01:42:00
24,Private,43387,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,England,1,87355fae-075f-4150-b385-b83056822ad8,0.6137688018335047,1,2024-01-10 01:47:00
23,Private,347292,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0,3828d5b5-eadf-4932-8ba7-283f9cbff959,0.010932763239365331,0,2024-01-10 02:01:00
48,Federal-gov,147397,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,36,United-States,0,5ea4edfe-295a-469c-a784-a6ebf3581685,0.2996863628093446,0,2024-01-10 02:10:00
39,Private,161295,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,1,f8c06980-9967-49fb-ac68-3b1cc05f3608,0.030397743278433142,0,2024-01-10 02:22:00
25,Private,204219,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,Mexico,0,92447926-4757-46b4-aee1-2c3f4dc25f05,0.008630645682107559,0,2024-01-10 02:33:00
28,Local-gov,149991,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,42,United-States,1,4ea41ae1-eaf8-48e6-9583-3d1ff1187d02,0.358969688648433,0,2024-01-10 02:40:00
39,Private,316211,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,1,fe32af32-e36a-48b4-9058-807b7dc5e58b,0.5479989637218035,1,2024-01-10 02:48:00
53,Private,48641,12th,8,Never-married,Other-service,Not-in-family,Other,Female,0,0,35,United-States,0,f87ce91f-6eb9-4bf6-9f57-b436c36bb33a,0.003144685013566852,0,2024-01-10 02:58:00
61,Private,202952,10th,6,Divorced,Other-service,Not-in-family,Black,Female,0,0,24,United-States,0,0c10773a-017e-4687-91fa-b99763ed3a29,0.008021410147738264,0,2024-01-10 03:10:00
79,,23275,10th,6,Married-civ-spouse,,Husband,White,Male,0,0,20,United-States,0,e1ec396f-cec8-4a79-aecc-7d34730b5be0,0.12119125313208837,0,2024-01-10 03:23:00
51,Private,284211,HS-grad,9,Widowed,Prof-specialty,Unmarried,White,Female,0,0,35,United-States,0,de226b78-3ee6-49a5-841e-b1b6a7f7aeca,0.046970824395461686,0,2024-01-10 03:29:00
52,Private,227832,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1,5cb94929-8441-4df3-85ef-a138fb162eec,0.8051917855129165,1,2024-01-10 03:42:00
59,Private,66356,7th-8th,4,Never-married,Farming-fishing,Unmarried,White,Male,4865,0,40,United-States,0,7630fa56-a23a-4c3e-b6fa-120b3f07e0b3,0.009572525954020021,0,2024-01-10 03:51:00
38,Private,166585,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,0,aebe9e6d-279d-4335-8184-6c4bfcc9cb2b,0.02038843504847739,0,2024-01-10 04:01:00
55,Private,112529,5th-6th,3,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,0,125277ff-bd38-4cfa-9043-c700d577fe63,0.01268035964461033,0,2024-01-10 04:11:00
40,Private,24038,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,55,United-States,0,55d7ea05-7bfe-4c73-a74f-cc0f8a3904e8,0.12166991324265017,0,2024-01-10 04:23:00
36,Private,247936,HS-grad,9,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0,0,2,Taiwan,0,fa4614a7-731a-473b-9bd4-2e0c6f9343c2,0.09070066533956038,0,2024-01-10 04:30:00
36,Private,51838,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0,00c7b68e-19c4-4042-8268-610470bae11a,0.021746574736985227,0,2024-01-10 04:43:00
64,,143716,Masters,14,Married-civ-spouse,,Husband,White,Male,0,0,2,United-States,0,ea15d364-4995-4181-b657-0243054a435b,0.3823147578697058,0,2024-01-10 04:50:00
41,Private,213019,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,38,United-States,1,b601c66c-fa51-4e9f-aa03-64e2b5603d55,0.4612472861530499,0,2024-01-10 05:02:00
35,Private,210945,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,0,15dcbf12-9b38-4597-81b2-ee67b4eb3c03,0.15822601845877152,0,2024-01-10 05:12:00
21,Private,214542,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,22,United-States,0,aa8e6e9b-99e3-4ad6-853f-f593d5bea98d,0.006823420253168321,0,2024-01-10 05:18:00
27,Local-gov,223529,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Male,0,0,43,United-States,0,fafe214a-7d20-48da-8928-3ae70237abf5,0.023687965191391887,0,2024-01-10 05:30:00
63,Self-emp-inc,54052,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,68,United-States,1,92e96e18-9a92-47f7-b736-bd2c9b156f36,0.9200442529493406,1,2024-01-10 05:39:00
18,Private,100875,11th,7,Never-married,Other-service,Unmarried,White,Female,0,0,28,United-States,0,d7d2676a-4c6b-482a-b6e3-4ba6cc6e81ce,0.007162688918784978,0,2024-01-10 05:53:00
70,Private,174032,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0,fb3d0601-6ae7-46c2-9834-fd9314a3ae48,0.5272284066014787,1,2024-01-10 06:02:00
44,Local-gov,185267,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,United-States,1,ae46d58a-3ba2-4623-a43f-154aded3e50d,0.8503312200425003,1,2024-01-10 06:10:00
38,Private,112497,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,1,59620874-4540-4b64-9f18-d226fd647f01,0.04969606888544817,0,2024-01-10 06:17:00
20,Private,283969,Some-college,10,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,15,United-States,0,04b3bc96-c431-40de-b5d3-4cee6d2b86e4,0.0025923908189584375,0,2024-01-10 06:32:00
23,Private,200207,HS-grad,9,Divorced,Handlers-cleaners,Own-child,White,Male,0,0,44,United-States,0,a53dc230-14c2-4b69-bbfb-1529cdcb439a,0.01420066871377673,0,2024-01-10 06:40:00
36,Private,182863,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,1,e1d9bc5a-39f0-47d8-b354-2428950f77ef,0.43526063999339654,0,2024-01-10 06:51:00
58,Self-emp-inc,143266,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0,4d8c863f-e8c7-4779-b599-b53c477d6a24,0.8269554320655056,1,2024-01-10 06:58:00
30,Local-gov,94041,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,3325,0,35,United-States,0,7339ea29-fc44-48bb-aae1-efc67fb9e976,0.22402748910020168,0,2024-01-10 07:10:00
71,Self-emp-inc,118119,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,20051,0,50,United-States,1,ddd48dca-df40-41a1-84d9-93e0a51f5fa5,0.9996934724723437,1,2024-01-10 07:23:00
68,Self-emp-not-inc,116903,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2149,40,United-States,0,ca17102d-71f9-4f9f-a52b-4c9cc98308e8,0.7804877144489775,1,2024-01-10 07:32:00
35,Private,101509,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0,1879ad06-c1a1-4935-b774-af7efd68759c,0.04940896849123735,0,2024-01-10 07:37:00
27,Private,330466,Bachelors,13,Never-married,Tech-support,Other-relative,Asian-Pac-Islander,Male,0,0,40,United-States,0,42f15d1b-c94a-4812-b924-a499bb747548,0.03968264963559979,0,2024-01-10 07:51:00
46,Private,133616,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0,ddb22694-0731-4f15-a497-aa794c8f9736,0.030002222920591216,0,2024-01-10 08:02:00
60,,204486,Bachelors,13,Married-civ-spouse,,Husband,White,Male,0,0,8,United-States,1,9e8f8de9-13d7-464e-a722-fc44376517fa,0.35983449310708804,0,2024-01-10 08:09:00
47,Federal-gov,382532,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1887,40,United-States,1,ad9b6bf4-c73b-42f1-9992-23fe95799c2a,0.7255694330955026,1,2024-01-10 08:22:00
53,Private,149784,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0,b8915908-e5c5-486c-a023-6dbcbd5c7231,0.2696227231977433,0,2024-01-10 08:31:00
44,Private,160574,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,65,United-States,1,9df48ed3-87bf-4048-9ac9-d3eb0bcd5a8b,0.4194039318956935,0,2024-01-10 08:42:00
46,State-gov,107682,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,0,46d1a910-2a7f-47c3-817b-efc112d64f39,0.01901965568126896,0,2024-01-10 08:47:00
38,Private,680390,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,20,United-States,0,6b5e2005-d6db-4036-b53e-f8229b49b586,0.013857625464893044,0,2024-01-10 08:57:00
37,Private,42044,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,35,United-States,0,9b0c2f95-8713-42fb-b543-f209c9b89893,0.06880220027304554,0,2024-01-10 09:10:00
32,Private,288229,Some-college,10,Married-civ-spouse,Sales,Other-relative,Asian-Pac-Islander,Female,0,0,40,Greece,0,23940558-e33e-458b-93e4-e4b7a830a405,0.04106063603213788,0,2024-01-10 09:21:00
65,Private,93318,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,45,United-States,0,ed65a30e-b477-461a-a2a0-2693a757adad,0.6729583959487155,1,2024-01-10 09:33:00
20,,96862,Some-college,10,Never-married,,Own-child,White,Female,0,0,8,United-States,0,72043343-fccd-4c02-9686-c647071f89e7,0.002332733704018209,0,2024-01-10 09:41:00
34,Private,198613,Masters,14,Never-married,Exec-managerial,Own-child,White,Male,4650,0,40,United-States,0,294338fd-2d6e-46ec-8d64-c165e53b7afd,0.49083999587387667,0,2024-01-10 09:50:00
61,Private,193479,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,24,United-States,0,7c04081b-00e2-42c9-9ff4-7459d7e5cd7d,0.020746335314233002,0,2024-01-10 09:59:00
44,Private,328581,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,1,59ffd75e-3339-4020-9b1c-d3b21bbfbb77,0.748299113475859,1,2024-01-10 10:12:00
68,Self-emp-not-inc,450580,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,20,United-States,0,1b1c7740-1e9c-4b91-9f86-4cb0480b95d9,0.04773937646811754,0,2024-01-10 10:21:00
24,Private,121313,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,0,50,United-States,0,8a01bfcb-d753-4553-8eab-e2f4a54c5c2d,0.02377024376804083,0,2024-01-10 10:30:00
19,Private,141868,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,0,67f13092-130b-4efb-91f1-b87bee35a43c,0.011017004392851214,0,2024-01-10 10:37:00
33,Private,202450,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0,4356496e-1e67-45cf-9542-59bf3d720508,0.18078015597368732,0,2024-01-10 10:47:00
54,Local-gov,34832,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,1,8ff98a8a-c7de-4773-9507-255283e7d5ad,0.8860667991787285,1,2024-01-10 10:58:00
18,Private,252993,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,Columbia,0,d77df3e8-a170-4479-b079-283300ea87df,0.001755354187761229,0,2024-01-10 11:11:00
47,,186805,HS-grad,9,Married-civ-spouse,,Not-in-family,White,Female,0,0,35,United-States,0,feffa97d-0578-4876-9032-f794f83dd94e,0.060432978781629065,0,2024-01-10 11:20:00
43,Private,200355,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,70,United-States,1,b56094d2-2dae-4254-9c68-88e4bb16b58f,0.3925113948900103,0,2024-01-10 11:32:00
22,,88126,Some-college,10,Never-married,,Own-child,White,Male,0,0,40,United-States,0,d15054e9-292c-4faa-9363-f3396fa4d266,0.013948036270282288,0,2024-01-10 11:41:00
33,Private,259301,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,41,United-States,0,f6885aca-38ad-4e67-844f-fea0b6e41b26,0.24875993835155988,0,2024-01-10 11:48:00
43,Private,352005,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,15024,0,45,United-States,1,3d8654bf-eed2-49ed-abe8-d10a1c4b9853,0.9974890997926084,1,2024-01-10 11:58:00
33,Private,232356,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,1672,55,United-States,0,576f4d17-4638-4b26-b357-f2fc7c2bdb17,0.6151123943694512,1,2024-01-10 12:08:00
17,Private,125236,10th,6,Never-married,Sales,Own-child,White,Female,0,0,22,United-States,0,187b3689-adea-4423-ab0b-c1991b7e8478,0.0022563877047201038,0,2024-01-10 12:23:00
31,Private,359249,Assoc-voc,11,Never-married,Protective-serv,Own-child,Black,Male,0,0,40,United-States,0,01d4540a-71ae-47cb-88b0-cda18f7aebd6,0.02881648725276163,0,2024-01-10 12:30:00
30,Private,79712,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Other,Male,0,0,40,United-States,0,5a04c132-9e38-421b-812f-e7030a16cc15,0.5475068775429558,1,2024-01-10 12:37:00
37,Federal-gov,93225,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,7688,0,40,United-States,1,a72ddbb8-2e0c-4297-a190-8c2e9b32cd6a,0.8681740996743628,1,2024-01-10 12:48:00
18,Private,260387,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Cuba,0,8ad4f456-64c4-48b8-ba93-2c0a77fd5e2c,0.06436647069053206,0,2024-01-10 13:01:00
18,Private,159561,11th,7,Never-married,Transport-moving,Own-child,White,Male,0,0,20,United-States,0,84fb5f25-80cb-405e-a35e-b3bb4dc7d66f,0.009161347290415593,0,2024-01-10 13:09:00
47,Private,334679,Masters,14,Separated,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,0,0,42,India,0,0edf0448-eb8e-44c0-b772-20e2b18404b1,0.10558607463617248,0,2024-01-10 13:23:00
60,State-gov,113544,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1,81dcb43b-d8bf-42ed-95d2-ff10cfe36468,0.8401697878225496,1,2024-01-10 13:27:00
50,Self-emp-inc,167793,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,60,United-States,1,9871ece7-9964-4e88-b6ab-ffb1e49ae1fc,0.9761029770940588,1,2024-01-10 13:37:00
26,Private,209942,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,40,United-States,0,7480cdd4-365c-43ae-aacb-963b61cc8183,0.0068572480475482915,0,2024-01-10 13:52:00
28,Local-gov,56340,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0,4af8fa32-8f1b-4d7b-b30e-ab1398bfc731,0.0567755162251386,0,2024-01-10 14:01:00
62,,54878,HS-grad,9,Widowed,,Not-in-family,White,Female,0,0,25,United-States,0,9cb2d921-30e5-4725-b621-566785552c93,0.015126981701851214,0,2024-01-10 14:13:00
20,Private,258298,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,0,6c10d022-338d-41c0-8d59-2ed0e5747c40,0.006467510589702957,0,2024-01-10 14:20:00
32,Private,360761,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,1,f8d0c622-902e-4825-a670-ffe58d83decd,0.2868222800108526,0,2024-01-10 14:27:00
20,Private,253612,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,0,e1398554-0373-4d1e-9f93-035003274571,0.007623917891850363,0,2024-01-10 14:42:00
32,Private,49539,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,3674,0,40,United-States,0,26b94461-e78c-4a15-b9be-081d03f13df7,0.046016397623508,0,2024-01-10 14:47:00
